issn,jn_title,oa_type,apc_currency,apc
1876-2859,Academic Pediatrics,Hybrid,USD,3000
1076-6332,Academic Radiology,Hybrid,USD,2750
0001-4575,Accident Analysis and Prevention,Hybrid,USD,3750
0155-9982,Accounting Forum,Hybrid,USD,1100
0361-3682,"Accounting, Organizations and Society",Hybrid,USD,1800
0094-5765,Acta Astronautica,Hybrid,USD,2950
1742-7061,Acta Biomaterialia,Hybrid,USD,3000
1872-2032,Acta Ecologica Sinica,Hybrid,USD,3000
0065-1281,Acta Histochemica,Hybrid,USD,1800
1359-6454,Acta Materialia,Hybrid,USD,3000
0252-9602,Acta Mathematica Scientia,Hybrid,USD,3000
1146-609X,Acta Oecologica,Hybrid,USD,2500
2173-5735,Acta Otorrinolaringologica (English Edition),Hybrid,EUR,3000
0001-6519,Acta Otorrinolaringologica Espanola,Hybrid,EUR,1800
0001-6918,Acta Psychologica,Hybrid,USD,1950
0001-706X,Acta Tropica,Hybrid,USD,2350
1578-2190,Actas Dermo-Sifiliográficas (English Edition),Hybrid,USD,3000
0001-7310,Actas dermosifiliograficas,Hybrid,USD,3000
0210-4806,Actas Urologicas Espanolas,Hybrid,USD,3000
2173-5786,Actas Urológicas Españolas (English Edition),Hybrid,USD,3000
0515-3700,Actualités pharmaceutiques,Hybrid,USD,3000
1570-8705,Ad Hoc Networks,Hybrid,USD,2400
0306-4603,Addictive Behaviors,Hybrid,USD,2700
2352-8532,Addictive Behaviors Reports,Open Access,USD,2250
2214-8604,Additive Manufacturing,Hybrid,USD,1850
0169-409X,Advanced Drug Delivery Reviews,Hybrid,USD,4000
1474-0346,Advanced Engineering Informatics,Hybrid,USD,2550
0921-8831,Advanced Powder Technology,Hybrid,USD,2800
0882-6110,Advances in Accounting,Hybrid,USD,1100
0737-6146,Advances in Anesthesia,Hybrid,USD,2850
0196-8858,Advances in Applied Mathematics,Hybrid,USD,1500
2212-4926,Advances in Biological Regulation,Hybrid,USD,2550
1548-5595,Advances in Chronic Kidney Disease,Hybrid,USD,2500
1674-9278,Advances in Climate Change Research,Open Access,USD,1500
0001-8686,Advances in Colloid and Interface Science,Hybrid,USD,3500
0965-9978,Advances in Engineering Software,Hybrid,USD,2750
2212-9588,Advances in Integrative Medicine,Hybrid,USD,2700
1040-2608,Advances in Life Course Research,Hybrid,USD,1300
0001-8708,Advances in Mathematics,Hybrid,USD,1600
1896-1126,Advances in Medical Sciences,Hybrid,USD,1200
0065-3101,Advances in Pediatrics,Hybrid,USD,3000
2452-1094,Advances in Radiation Oncology,Open Access,USD,2000
1041-7826,Advances in Small Animal Medicine and Surgery,Hybrid,USD,3000
0273-1177,Advances in Space Research,Hybrid,USD,2600
0065-3411,Advances in Surgery,Hybrid,USD,3000
0309-1708,Advances in Water Resources,Hybrid,USD,3900
1875-9637,Aeolian Research,Hybrid,USD,2500
1270-9638,Aerospace Science and Technology,Hybrid,USD,2750
1434-8411,AEUE - International Journal of Electronics and Communications,Hybrid,USD,1800
1568-1637,Ageing Research Reviews,Hybrid,USD,3300
1359-1789,Aggression and Violent Behavior,Hybrid,USD,1800
2352-2151,Agri Gene,Hybrid,USD,1500
0168-1923,Agricultural and Forest Meteorology,Hybrid,USD,4150
0308-521X,Agricultural Systems,Hybrid,USD,3900
0378-3774,Agricultural Water Management,Hybrid,USD,2850
0167-8809,"Agriculture, Ecosystems and Environment",Hybrid,USD,4000
2090-4479,Ain Shams Engineering Journal,Open Access,USD,650
1067-991X,Air Medical Journal,Hybrid,USD,3000
0196-6553,AJIC:  American Journal of Infection Control,Hybrid,USD,1950
0741-8329,Alcohol,Hybrid,USD,2500
2211-9264,Algal Research,Hybrid,USD,2750
0301-0546,Allergologia et Immunopathologia,Hybrid,USD,3000
1875-0672,"Alter - European Journal of Disability research, Revue européenne de",Hybrid,USD,3000
2352-8729,"Alzheimer's & Dementia: Diagnosis, Assessment & DiseaseMonitoring",Open Access,USD,2000
1552-5260,Alzheimer's & Dementia: The Journal of the Alzheimer's Association,Hybrid,USD,3150
2352-8737,"Alzheimer's & Dementia: Translational Research & ClinicalInterventions",Open Access,USD,2000
0002-8703,American Heart Journal,Hybrid,USD,3400
2590-1818,American Heart Journal: X,Open Access,USD,3200
0735-6757,American Journal of Emergency Medicine,Hybrid,USD,2550
0272-6386,American Journal of Kidney Diseases,Hybrid,USD,3200
0002-9378,American Journal of Obstetrics and Gynecology,Hybrid,USD,3900
0002-9394,American Journal of Ophthalmology,Hybrid,USD,3600
2451-9936,American Journal of Ophthalmology Case Reports,Open Access,USD,750
0889-5406,American Journal of Orthodontics & Dentofacial Orthopedics,Hybrid,USD,3000
0196-0709,"American Journal of Otolaryngology--Head and Neck Medicine andSurgery",Hybrid,USD,2500
0749-3797,American Journal of Preventive Medicine,Hybrid,USD,2600
2215-0390,Ampersand,Open Access,USD,1000
1075-9964,Anaerobe,Hybrid,USD,1850
1472-0299,Anaesthesia & Intensive Care Medicine,Hybrid,USD,3000
2352-5568,Anaesthesia Critical Care & Pain Medicine,Hybrid,EUR,2600
1695-4033,Anales de Pediatria,Open Access,EUR,3000
2213-6657,Analytic Methods in Accident Research,Hybrid,USD,1800
2590-1346,Analytica Chimica Acta: X,Open Access,USD,1850
0003-2697,Analytical Biochemistry,Hybrid,USD,3450
1932-2275,Anesthesiology Clinics,Hybrid,USD,3000
2352-5800,Anesthésie & Réanimation,Hybrid,EUR,2000
0003-3472,Animal Behaviour,Hybrid,USD,2600
0377-8401,Animal Feed Science and Technology,Hybrid,USD,2750
0378-4320,Animal Reproduction Science,Hybrid,USD,2500
